NM,H2,CH4,C2H6,C2H4,C2H2,Type,Fault_Type,R1,R2,R4,R5
-1.0103092783505154,17.755102040816325,1.5845223577235774,1.0541871921182266,-0.19473429462285705,-0.0365929203539823,Partial discharge,0,-0.3273357914401317,0.025555731978405865,-0.32323942544590917,-0.6412109363286896
-0.979381443298969,4.247745609871855,0.8274085365853658,0.12315270935960591,-0.19698555814450858,-0.03806784660766962,Partial discharge,0,-0.2827094143343155,0.11074150523975872,-0.7074468286609523,-0.6330014932802391
-0.9690721649484536,16.917892738490746,4.596717479674797,2.5566502463054186,-0.19811118990533436,-0.03364306784660767,Partial discharge,0,-0.2650024366847938,0.5366703715465228,-0.4407787977901781,-0.6440054052791321
-0.9587628865979382,15.498813478879924,0.44529471544715443,0.11330049261083744,-0.20148808518781164,-0.04839233038348083,Partial discharge,0,-0.3474734221453114,-0.485558907589711,-0.5524774917262678,-0.6409261770309471
-0.9484536082474226,18.932130991931658,0.9026117886178862,5.0492610837438425,-0.2026137169486374,-0.04691740412979351,Partial discharge,0,-0.34171414836641806,0.025555731978405865,3.613761590963432,-0.6449829540651973
-0.9381443298969072,12.528713811105838,18.45647357723577,10.226600985221674,-0.17334729116716754,-0.04839233038348083,Partial discharge,0,0.14377504736009808,-0.485558907589711,-0.45321912788367047,-0.6435500220584821
-0.9278350515463918,-0.14807783578547698,-0.16344512195121952,-0.11822660098522167,-0.18910613581872823,-0.007094395280235991,Spark discharge,0,-0.17215333082304005,0.6153033930185406,1.564792015863214,-0.5021494185257253
-0.9175257731958762,-0.04034171808258187,-0.08214430894308944,-0.009852216748768473,-0.022512635216515267,0.749542772861357,Spark discharge,0,-0.11944300053722356,1.2319132663627812,0.5439750162401457,-0.054979863342232746
-0.9072164948453608,-0.1684859990507831,-0.17767276422764228,-0.15763546798029557,-0.17447292292799332,0.6625221238938053,Spark discharge,0,-0.23483875890748332,8.989720179788456,1.3327881523125167,0.4031856645097062
-0.8969072164948454,0.07261509254864737,-0.061819105691056926,0.029556650246305417,0.2588953049899256,2.7244690265486726,Spark discharge,0,-0.1982772351733391,1.852386402356906,0.5981092510686417,0.5674100693221963
-0.8865979381443299,0.39867109634551495,-0.018119918699187006,-0.03940886699507389,0.05853285156293969,0.9722566371681417,Spark discharge,0,-0.26353882611813834,1.0324296356769709,-0.21864872664613433,0.3987058237929318
-0.8762886597938144,0.12102515424774561,-0.09637195121951221,-0.10837438423645321,-0.0799198550186292,0.4191592920353982,Spark discharge,0,-0.2629391232211993,0.9873805537111349,-0.28584345385513926,0.3783742390014167
-0.865979381443299,-0.15662078785002373,-0.17360772357723578,-0.15270935960591134,-0.1992368216661601,-0.042492625368731565,Spark discharge,0,-0.23835130444669783,0.025555731978405865,0.868780425211122,-0.5241413638626183
-0.845360824742268,3.0754627432368298,0.8609451219512194,0.21674876847290642,0.8093292360337239,8.063702064896754,Spark discharge,0,-0.2509136398031025,2.6379194453265584,-0.630668669565953,0.7328792585265042
-0.8350515463917526,4.604651162790698,5.303018292682927,2.438423645320197,7.1128670966579985,55.357212389380535,Spark discharge,0,0.033328012987374506,2.4682905440066443,-0.531751140049913,0.8383218911126347
-0.8247422680412371,0.12339819648789749,-0.10145325203252034,0.6650246305418719,-0.14633212890734923,0.3498377581120944,Spark discharge,0,-0.2693697835160689,2.2203421254179663,8.751183295476789,-0.6088103534096567
-0.8144329896907216,-0.0854295206454675,-0.16141260162601628,-0.14285714285714285,-0.19698555814450858,-0.03806784660766962,Spark discharge,0,-0.28401439645648624,0.11074150523975872,0.27822513617298317,-0.5241413638626183
-0.8041237113402062,-0.0023730422401518746,-0.12279471544715448,-0.1330049261083744,-0.1440808653856977,0.18612094395280235,Spark discharge,0,-0.24633436249036714,1.0477850111146394,-0.3685735137259305,0.15623444499751116
-0.7938144329896907,1.8224964404366397,0.5174491869918699,-0.1477832512315271,0.01688447641238645,1.6920206489675518,Spark discharge,0,-0.2409670298482405,2.591559840830584,-0.9536267348537759,4.096366351418617
-0.7835051546391752,3.4219269102990033,1.0662296747967481,1.3940886699507389,0.737288803340875,2.2524926253687316,Spark discharge,0,-0.24191006769037565,0.4681956829919425,0.21237925028719778,-0.3271128976210826
-0.7731958762886598,0.09729473184622686,-0.10246951219512196,-0.12807881773399016,-0.10355812199597023,0.3114896755162242,Spark discharge,0,-0.2621126419178547,0.9156992053835532,-0.4652417902053877,0.5510204081632654
-0.7628865979381443,-0.12814428096820124,-0.1583638211382114,-0.16748768472906403,-0.19473429462285705,0.010604719764011797,Spark discharge,0,-0.20761653097857097,2.070014290250873,-0.8016473923538988,0.32254853160776503
-0.7422680412371134,2.878025628856194,2.166839430894309,0.4236453201970443,2.22649962291336,9.438333333333333,Spark discharge,0,-0.0969351543212726,1.037131857441381,-0.7445140587272333,1.51311248143684
-0.7319587628865979,0.84812529663028,0.8822865853658536,0.8472906403940886,0.2915386260538727,0.9914306784660768,Spark discharge,0,-0.005856931698368654,0.3333861399001126,-0.07162036393812976,-0.3879931612093407
-0.7216494845360825,0.6644518272425249,0.40566056910569104,1.4088669950738917,0.17447292292799332,0.8645870206489676,Spark discharge,0,-0.12228031637712389,0.45604812185274235,1.5807922823149865,-0.5184892283788374
-0.711340206185567,0.4461319411485524,-0.17360772357723578,-0.07389162561576355,-0.1294476524949628,0.22004424778761061,Spark discharge,0,-0.3557442737836033,0.9238784318253992,8.292904058833436,-0.245943255350921
-0.7010309278350515,-0.18319886093972473,-0.18275406504065042,-0.1625615763546798,-0.19585992638368283,0.028303834808259584,Spark discharge,0,-0.17688175751044416,3.311292700630586,8.292904058833436,-0.22175211548033857
-0.6907216494845361,0.7166587565258662,0.10586382113821137,-0.019704433497536946,0.8734902464007923,11.352787610619469,Spark discharge,0,-0.25064521383394855,3.642880135107826,-0.4825403238911853,3.0889224297114604
-0.6804123711340206,-0.15804461319411486,-0.15938008130081302,-0.1625615763546798,-0.17334729116716754,-0.00414454277286136,Spark discharge,0,-0.05070742432550248,0.08234624748597442,-0.6005773772766277,0.9878048780487805
-0.6701030927835051,0.2895111532985287,0.32435975609756096,-0.16748768472906403,0.24651335562084217,0.689070796460177,Spark discharge,0,0.007526883298316782,0.15333439187043507,-0.9779703286524287,47.737182677949235
-0.6597938144329897,0.023730422401518746,-0.09332317073170733,-0.07881773399014778,0.13845270658156889,1.0681268436578173,Arc discharge,0,-0.21208704348302582,0.787183796861159,0.0033278106175093688,1.2901941264310604
-0.6494845360824743,-0.0854295206454675,-0.14007113821138212,-0.11330049261083744,-0.0889249091052353,0.22741887905604719,Arc discharge,0,-0.21025094013298187,0.4514845982851699,0.30765480173966786,0.38302638128422095
-0.6391752577319587,1.1675367821547225,0.949359756097561,0.5073891625615764,2.0328909600513287,5.371961651917404,Arc discharge,0,-0.0727070516500564,0.45975880776651923,-0.41296289270125075,1.096489709351397
-0.6185567010309279,0.07356430944470811,-0.051656504065040666,-0.09359605911330049,-0.03151768930312138,0.3041150442477876,Arc discharge,0,-0.1853408694741488,0.3128489280755173,-0.41616404983889405,0.5115418118466899
-0.6082474226804123,3.2083531086853347,1.2796443089430896,0.3054187192118227,1.1582750818897105,2.547477876106195,Arc discharge,0,-0.21273182894039908,0.25788056814573174,-0.674689722577545,0.8637317637640926
-0.5979381443298969,0.10915994304698623,0.14651422764227642,0.014778325123152709,0.0,0.3114896755162242,Arc discharge,0,0.025372880795938794,0.2034575126015626,-0.4447183715066722,-0.06896596892929191
-0.5773195876288659,0.17323208353108685,0.048953252032520315,-0.014778325123152709,0.2510158826641452,0.6300737463126843,Arc discharge,0,-0.13755753079493355,0.09640330577992696,-0.3388554060222022,0.8819686411149826
-0.5567010309278351,6.222116753678216,6.025579268292683,0.8719211822660099,4.87285989261473,5.910309734513274,Arc discharge,0,-0.027442458958751956,-0.027708986557517638,-0.8262527120888992,1.9280642767921714
-0.5463917525773195,0.5600379686758424,0.9442784552845528,0.6896551724137931,1.7998851855603957,2.650722713864307,Arc discharge,0,0.16022193619729078,0.03991288477526306,-0.25570676929586156,0.5851951930598023
-0.5360824742268041,1.2814428096820123,4.917855691056911,1.4187192118226601,4.073661342428437,3.697920353982301,Arc discharge,0,0.8370673710788271,-0.14391912219418027,-0.6886957105774238,0.7779111644657865
-0.5257731958762887,0.6786900806834362,0.2278150406504065,0.0,0.20711624399194045,0.8867109144542774,Arc discharge,0,-0.19714644331360473,0.4022402197697029,-0.5862561511315231,0.6162980871791226
-0.5154639175257731,0.06881822496440437,-0.021168699186991883,-0.09359605911330049,0.13957833834239466,0.9545575221238939,Arc discharge,0,-0.14068940744517333,0.6539753707916642,-0.523242756093062,1.660620955699353
-0.5051546391752577,-0.17892738490745136,-0.18072154471544716,-0.16748768472906403,-0.2003624534269859,-0.039542772861356934,Arc discharge,0,-0.19106703757265653,0.5366703715465228,0.5594419404768587,-0.28222996515679455
-0.4948453608247423,-0.12007593735168486,-0.1156808943089431,-0.13793103448275862,-0.1440808653856977,0.105,Arc discharge,0,-0.0005494075400231039,0.5173830266571599,-0.5024662907004623,0.2707103747422313
-0.4845360824742268,0.3293782629330802,0.007286585365853646,-0.1330049261083744,-0.01688447641238645,1.0858259587020649,Arc discharge,0,-0.23336115672493554,1.8821950552288542,-0.7898003865555653,1.8647336983573919
-0.4742268041237113,-0.16896060749881348,-0.1624288617886179,-0.15270935960591134,-0.14858339242900076,0.03420353982300885,Arc discharge,0,0.09430742014949843,0.09857210905956539,-0.10342624109656219,0.8366102538576407
-0.4639175257731959,3.583293782629331,1.8487500000000001,1.5763546798029557,3.3082317450669185,7.90146017699115,Arc discharge,0,-0.175488241333048,0.3974243960231576,-0.16363676758948123,0.4179502099706252
-0.4536082474226804,-0.11390602752728998,-0.051656504065040666,-0.12807881773399016,-0.14182960186404617,-0.00414454277286136,Arc discharge,0,0.2779928898178329,-0.20676910418892,-0.6660143644319527,0.0940766550522647
-0.44329896907216493,3.7066919791172284,3.6678556910569107,1.0591133004926108,4.996679386305564,8.550427728613569,Arc discharge,0,-0.02035930140934949,0.1594190899605317,-0.681176784578761,1.5901642608262818
-0.4329896907216495,-0.061699098243948744,0.03472560975609755,0.0,0.1722216594063418,0.3601622418879056,Arc discharge,0,0.2486766443559272,-0.061670419085614055,-0.23188906698288397,0.5091658963236863
-0.422680412371134,-0.14950166112956811,-0.16852642276422766,-0.13793103448275862,-0.18798050405790248,-0.010044247787610623,Arc discharge,0,-0.21376348567219636,0.4636539944653632,1.178118909945385,-0.40318566450970644
-0.41237113402061853,0.0664451827242525,0.16683943089430894,0.24630541871921183,0.09567869967018988,0.3203392330383481,Arc discharge,0,0.11886794944700262,-0.005188005739977101,0.15595696038868959,-0.26657687465230007
-0.4020618556701031,-0.15662078785002373,-0.17868902439024392,-0.1625615763546798,-0.18010108173212214,-0.0174188790560472,Arc discharge,0,-0.2998208513829515,0.025555731978405865,0.868780425211122,0.6249377799900447
-0.3917525773195876,-0.14238253440911247,-0.15531504065040652,-0.1330049261083744,-0.1688447641238645,-0.001194690265486729,Arc discharge,0,-0.1318040897571915,0.0420433009967322,0.33848587995238505,-0.1763937282229966
-0.38144329896907214,-0.08068343616516374,-0.10551829268292684,-0.06403940886699508,-0.012381949369083397,0.3055899705014749,Arc discharge,0,-0.1031183011869398,0.2360147012123364,0.33848587995238505,0.28956061360242547
-0.3711340206185567,2.615092548647366,1.3406199186991872,0.1625615763546798,1.1470187642814529,3.3439380530973453,Arc discharge,0,-0.17375618732724485,0.49407748491584635,-0.7769003135751578,1.4894152783064447
-0.36082474226804123,0.014238253440911248,0.07029471544715446,0.029556650246305417,0.3928454845281914,1.1315486725663717,Arc discharge,0,0.07777779408260667,0.2859348879848051,-0.22627781074816944,0.9184766113465018
-0.35051546391752575,1.1438063597532035,2.6617581300813007,0.9802955665024631,3.7359718141807083,5.261342182890855,Arc discharge,0,0.37634416491583866,0.04015900739463772,-0.5994725969740055,1.1640693800972548
-0.3402061855670103,-0.1381110583768391,-0.011006097560975623,-0.07389162561576355,0.0213870034556895,0.23184365781710914,Arc discharge,0,0.9053548112763246,0.0,-0.4413590395457571,0.5644599303135889
-0.32989690721649484,-0.037968675842429994,0.04996951219512194,0.09359605911330049,0.48289602539425247,1.0725516224188791,Arc discharge,0,0.18598685827453706,0.15123965974105757,0.10215896304360031,0.7212543554006968
-0.31958762886597936,0.19458946369245372,-0.021168699186991883,-0.059113300492610835,0.0889249091052353,0.8365634218289086,Arc discharge,0,-0.21376348567219636,0.6939364144905585,-0.32023937548620196,0.722228233817387
-0.30927835051546393,0.5268153773137162,0.21765243902439024,-0.034482758620689655,0.24088519681671336,0.4280088495575221,Arc discharge,0,-0.1670466300006436,-0.06760946814540277,-0.6583336133504301,1.06124226694162
-0.29896907216494845,9.307071665875652,13.027611788617886,8.94088669950739,32.43958171523767,84.02240412979351,Arc discharge,0,0.11817206778357336,0.5190457288027945,-0.32693179462708744,1.250965250965251
-0.28865979381443296,-0.04034171808258187,-0.09738821138211383,-0.04926108374384237,0.018010108173212212,0.1433480825958702,Arc discharge,0,-0.15572011020452078,-0.14827513528587755,0.3774781259272923,0.3080338476854156
-0.27835051546391754,0.7166587565258662,0.3548475609756097,0.0,0.2273776156868042,0.5917256637168141,Arc discharge,0,-0.15552917804837713,0.09361538372246325,-0.6808302860520262,0.6785038754177629
-0.26804123711340205,-0.132890365448505,-0.12076219512195123,0.270935960591133,-0.0461509021938563,0.3203392330383481,Arc discharge,0,0.05446726459509227,0.42714580592478346,5.748345555374175,-0.45694375311100066
-0.25773195876288657,1.5709539629805411,1.533709349593496,0.458128078817734,2.959285899210932,4.7746165191740415,Arc discharge,0,-0.02437082754427971,0.10922574414969898,-0.6358126780525719,2.010258524141364
-0.24742268041237114,1.1295681063122924,0.4869613821138211,0.09359605911330049,0.5977104649984804,1.076976401179941,Arc discharge,0,-0.1855363146603138,0.062166471610391724,-0.6076077973842247,0.9497262319561971
-0.23711340206185566,-0.06881822496440437,-0.061819105691056926,-0.08374384236453201,-0.05628158804128817,0.19792035398230087,Arc discharge,0,0.0,0.16601471689788835,-0.29123889254236474,0.23519163763066198
-0.2268041237113402,0.37019458946369244,0.07537601626016259,-0.08374384236453201,0.147457760668175,0.4309587020648967,Arc discharge,0,-0.2005238909474648,0.04685217529374411,-0.659715617005237,1.4514683922349427
-0.21649484536082475,1.9121974371143806,3.4381808943089434,3.1182266009852215,3.0166931190130457,2.9383333333333335,Arc discharge,0,0.2336246465709728,-0.12379478835677266,-0.11756147729173044,-0.12705177002888213
-0.20618556701030927,0.19933554817275748,0.10078252032520324,0.37438423645320196,0.43787075496122196,0.6743215339233039,Arc discharge,0,-0.10630561102807888,-0.04617965603115439,0.8522087206717862,-0.023973201673550184
-0.1958762886597938,2.1879449454200284,1.035741869918699,0.23645320197044334,0.9218924121163001,1.5740265486725664,Arc discharge,0,-0.18425810314279462,0.07666719593521759,-0.6663118052826587,0.8122005193496735
-0.18556701030927836,4.5609871855719035,6.655660569105691,1.5270935960591132,8.047141458143383,15.290840707964602,Arc discharge,0,0.1351376627379794,0.23962420994213282,-0.7493861951558517,1.9247733027463374
-0.17525773195876287,0.5600379686758424,0.563180894308943,0.2561576354679803,1.293350893188802,2.5179793510324484,Arc discharge,0,-0.01596466330152537,0.1831173877851186,-0.4380168470336222,1.2039958119496748
-0.16494845360824742,3.9914570479354534,64.92192073170732,355.13793103448273,107.4629385742748,-0.04839233038348083,High-temperature overheating,1,5.008689222031914,-0.485558907589711,4.2368924582967695,-0.48469593406865213
-0.15463917525773196,2.9990507831039395,10.48696138211382,6.724137931034483,19.71994281790655,1.0578023598820059,High-temperature overheating,1,0.7931533211573129,-0.46390150760801113,-0.3685735137259305,0.8841285643177131
-0.14432989690721648,0.3369719981015662,1.4422459349593497,0.916256157635468,2.0587804905503213,-0.010044247787610623,High-temperature overheating,1,0.7116326027499495,-0.47894747444106867,-0.34633981013565535,0.45499775895348754
-0.13402061855670103,-0.04746084480303749,0.7979369918699186,1.3004926108374384,1.8336541383851686,0.03567846607669616,High-temperature overheating,1,2.09579576749132,-0.4694630321999968,0.448963910214622,0.0871096786867124
-0.12371134020618557,1.001423825344091,10.48696138211382,23.423645320197043,14.992289422438342,-0.039542772861356934,High-temperature overheating,1,2.736774767267979,-0.4853317455276807,1.1295085766300008,-0.30419895439208333
-0.10309278350515463,0.2230659705742762,1.5133841463414635,-0.024630541871921183,2.103805760983352,0.010604719764011797,High-temperature overheating,1,1.0710929977302401,-0.47558593901277213,-0.9038958016792361,7.620209059233449
-0.09278350515463918,-0.11390602752728998,-0.16141260162601628,-0.12807881773399016,-0.13620144305991735,-0.032168141592920356,High-temperature overheating,1,-0.2531039957113987,-0.3918545570022229,0.9109629458567033,0.16127426580388252
-0.08247422680412371,0.004746084480303749,0.7715142276422764,0.8620689655172413,0.7192786951676627,-0.012994100294985255,High-temperature overheating,1,1.3721508252831478,-0.4705994547243027,0.049362524159722775,-0.17279385621844567
-0.07216494845360824,-0.18224964404366398,2.85484756097561,147.5615763546798,29.148234446583142,0.05042772861356932,High-temperature overheating,1,367.2266002804776,-0.484245643252732,45.553190104667834,-0.5399273127544921
-0.061855670103092786,-0.13763644992880875,0.019481707317073157,0.3694581280788177,0.5504339310437982,-0.032168141592920356,High-temperature overheating,1,1.1139787281508824,-0.4771674732087419,1.564792015863214,0.09163310557038773
-0.05154639175257732,-0.04746084480303749,1.0967174796747967,0.9655172413793104,0.7192786951676627,-0.0365929203539823,High-temperature overheating,1,2.8436046005640887,-0.48057242330124156,-0.13656965017523323,-0.2157305113999988
-0.041237113402061855,0.550545799715235,2.6007825203252035,3.8472906403940885,5.930953747790947,0.22299410029498526,High-temperature overheating,1,0.9426571521737112,-0.46830292709786997,0.3946119449615214,0.1627565660410505
-0.030927835051546393,1.6706217370669199,4.175985772357723,2.9113300492610836,6.595076486678147,1.7657669616519174,High-temperature overheating,1,0.44803243448855384,-0.38147430383660114,-0.31016694667820255,0.521951537569754
-0.020618556701030927,5.844803037494067,23.696310975609755,29.61576354679803,38.35702788189871,7.6035250737463125,High-temperature overheating,1,1.0029706773909135,-0.40815391736641676,0.20683187521142185,0.04013187555290089
-0.010309278350515464,-0.18462268628381584,-0.17564024390243904,-0.1330049261083744,-0.09117617262688683,-0.039542772861356934,High-temperature overheating,1,5.539786107561145,-0.45489202921562394,3.6528267878194898,0.8668491786958686
0.0,-0.04271476032273375,0.5276117886178862,1.206896551724138,1.7098346446943344,0.0047050147492625335,High-temperature overheating,1,1.359856915895897,-0.47473530345768034,0.868780425211122,0.08927682571286345
0.010309278350515464,-0.1343141907925961,-0.038445121951219526,-0.0049261083743842365,0.0461509021938563,-0.045442477876106196,High-temperature overheating,1,0.6245202796491245,-0.4809542711972054,0.11598467215151657,0.14467250314760044
